Schlüssel (Fundstelle|Stichwort)	Wortart (- = aus der Liste)	Beispielsatz (Lücke in [ ])
1/A|francophone	-	Le Sénégal est un pays [francophone].
1/A|la Belgique	-	Bruxelles est la capitale de la [Belgique].
1/A|la Suisse	-	Genève se trouve en [Suisse].
1/A|le lac	-	En été, nous nous baignons dans le [lac].
1/A|le Luxembourg	-	Le [Luxembourg] est un petit pays entre la France et l'Allemagne.
1/A|le luxembourgeois	-	Au Luxembourg, beaucoup de gens parlent le [luxembourgeois] à la maison.
1/Voc|les Pays-Bas	-	Amsterdam est la capitale des [Pays-Bas].
1/Voc|la partie	-	Je n'ai lu qu'une [partie] du livre.
1/Voc|faire partie de qc	-	La Belgique [fait partie de] l'Union européenne.
1/Voc|l'Union européenne (l'UE)	-	Vingt-sept pays forment l'[Union européenne].
1/Voc|la monnaie	-	L'euro est la [monnaie] de beaucoup de pays européens.
1/Voc|le symbole	-	Le coq est un [symbole] de la France.
1/Voc|la langue	-	Mon père parle trois [langues].
1/Voc|officiel/officielle	-	Le français est une langue [officielle] au Canada.
1/Voc|on y parle	-	La Suisse ? [On y parle] quatre langues.
1/Voc|le néerlandais	-	À Anvers, on parle le [néerlandais].
1/Voc|dépendre de qn/qc	-	Notre sortie [dépend] du temps.
1/Voc|bilingue	-	Ma cousine est [bilingue] : elle parle français et allemand.
1/Voc|typique (de qc)	-	Les gaufres sont [typiques] de la Belgique.
1/Voc|les frites	-	Je voudrais des [frites] avec mon steak.
1/Voc|le drapeau	-	Le [drapeau] français est bleu, blanc et rouge.
1/Voc|la fête nationale	-	En France, la [fête nationale] est le 14 juillet.
1/1|découvrir qn/qc	-	Pendant les vacances, nous avons [découvert] une grotte.
1/1|se lever	-	Le lundi, je [me lève] à six heures.
1/1|se trouver	-	Le musée [se trouve] au centre-ville.
1/1|se dépêcher	-	[Dépêche-toi], le bus arrive !
1/1|avoir qc	-	On a couru, mais on n'a pas [eu] le train.
1/1|ouvrir qc	-	[Ouvre] la fenêtre, s'il te plaît.
1/1|se reposer	-	Après le match, les joueurs [se reposent].
1/1|se coucher	-	Le soir, je [me couche] vers dix heures.
1/1|vers	-	Je rentre [vers] six heures.
1/1|s'appeler	-	Comment [s'appelle] ta sœur ?
1/1|mettre… minutes	-	Pour aller au collège, je [mets vingt minutes].
1/1|à pied	-	Le parc est tout près, on y va [à pied].
1/1|se préparer	-	Le matin, je [me prépare] en dix minutes.
1/1|comme	-	[Comme] il pleut, on reste à la maison.
1/1|s'entraîner	-	L'équipe [s'entraîne] deux fois par semaine.
1/1|en	-	Nous allons à la mer [en] voiture.
1/1|la voiture	-	Mes parents ont une nouvelle [voiture].
1/1|le cœur	-	Mon [cœur] bat très vite.
1/1|faire son sac	-	Le soir, je [fais mon sac] pour le lendemain.
1/1|se baigner	-	Il fait chaud, on va [se baigner] dans le lac.
1/2|la tradition	-	Manger des crêpes le 2 février, c'est une [tradition] en France.
1/2|traditionnel/traditionnelle	-	Nous avons mangé un plat [traditionnel] de la région.
1/2|avoir lieu	-	Le festival [a lieu] en juillet.
1/2|y	-	Paris ? J'[y] vais souvent.
1/2|proposer qc (à qn)	-	Je te [propose] une balade au parc.
1/2|le défilé	-	Le 14 juillet, nous regardons le [défilé] à la télé.
1/2|le feu d'artifice	-	Le soir, il y a un beau [feu d'artifice].
1/2|le lecteur / la lectrice	-	Les [lecteurs] du journal ont aimé l'article.
1/2|s'amuser	-	À la fête, les enfants [s'amusent] beaucoup.
1/2|ressembler à qn/qc	-	Tu [ressembles à] ta mère.
1/2|si	-	[Si] tu veux, on peut aller au cinéma.
1/2|offrir qc à qn	-	Pour son anniversaire, j'[offre] un livre à ma sœur.
1/2|se défendre	-	Le petit chat [se défend] contre le chien.
1/2|le courage	-	Il faut du [courage] pour sauter dans l'eau froide.
1/2|jeter qc	-	Ne [jette] pas tes papiers par terre !
1/2|en	-	Des bonbons ? J'[en] ai trop mangé.
1/2|la clé	-	J'ai perdu la [clé] de la maison.
1/2|casser qc	-	Oh non, j'ai [cassé] le vase !
1/2|se déguiser (en qn/qc)	-	Pour le carnaval, je [me déguise] en pirate.
1/2|chaque	-	[Chaque] matin, je prends le bus.
2/A|plusieurs	-	J'ai [plusieurs] amis à Lyon.
2/A|le visage	-	Elle a un [visage] très expressif.
2/A|le champ	-	Il y a des vaches dans le [champ].
2/A|la lavande	-	En Provence, les champs de [lavande] sont violets.
2/A|le temps	-	Quel [temps] fait-il aujourd'hui ?
2/Voc|décrire qn/qc	-	[Décris] la photo, s'il te plaît.
2/Voc|l'image	-	Regarde cette [image] : que vois-tu ?
2/Voc|le tableau	-	Ce [tableau] de Monet est très célèbre.
2/Voc|dater de	-	Ce château [date du] Moyen-Âge.
2/Voc|le siècle	-	Cette église date du XIIe [siècle].
2/Voc|montrer qc (à qn)	-	Je te [montre] mes photos de vacances ?
2/Voc|le premier plan	-	Au [premier plan], on voit un petit bateau.
2/Voc|l'arrière-plan	-	À l'[arrière-plan], il y a des montagnes.
2/Voc|la rivière	-	Une petite [rivière] traverse le village.
2/Voc|le rocher	-	Le garçon est assis sur un [rocher].
2/Voc|l'escalier	-	Prends l'[escalier], l'ascenseur est en panne.
2/Voc|vers	-	Le chien court [vers] la plage.
2/Voc|autour de	-	Il y a des arbres [autour de] la maison.
2/Voc|le chemin	-	Ce [chemin] mène au lac.
2/Voc|assez	-	Ce film est [assez] long.
2/Voc|le ciel	-	Le [ciel] est bleu aujourd'hui.
2/Voc|le nuage	-	Regarde ce gros [nuage] noir !
2/Voc|la lumière	-	Éteins la [lumière], s'il te plaît.
2/Voc|peut-être	-	[Peut-être] qu'il va pleuvoir demain.
2/1|le gladiateur	-	Le [gladiateur] se battait dans l'arène.
2/1|romain/romaine	-	À Nîmes, il y a beaucoup de monuments [romains].
2/1|l'action	-	J'aime les films d'[action].
2/1|autrefois	-	[Autrefois], les gens n'avaient pas de portable.
2/1|le Moyen-Âge	-	Ce château a été construit au [Moyen-Âge].
2/1|les arènes	-	Les [arènes] de Nîmes sont très bien conservées.
2/1|l'époque	-	À cette [époque], il n'y avait pas d'électricité.
2/1|connaître qn/qc	-	Tu [connais] cette chanson ?
2/1|gigantesque	-	Le bateau est [gigantesque] !
2/1|le tapis	-	Le chat dort sur le [tapis].
2/1|magique	-	C'était une soirée [magique].
2/1|réparer qc	-	Mon grand-père [répare] mon vélo.
2/1|le paddle	-	Cet été, j'ai fait du [paddle] sur le lac.
2/1|la prison	-	Le voleur est en [prison].
