Schlüssel (Fundstelle|Stichwort)	Wortart (- = aus der Liste)	Beispielsatz (Lücke in [ ])
1/A|le château	-	Nous avons visité un vieux [château] au bord de la Loire.
1/A|l'éléphant	-	Au zoo, l'[éléphant] prend une douche avec sa trompe.
1/A|la machine	-	Cette grande [machine] fait du bruit toute la journée.
1/A|l'île	-	En été, on prend le bateau pour aller sur l'[île].
1/A|le centre-ville	-	Le samedi, il y a beaucoup de monde dans le [centre-ville].
1/A|le skatepark	-	Après l'école, Nico retrouve ses copains au [skatepark].
1/Voc|le bâtiment	-	Ce grand [bâtiment] blanc, c'est la mairie.
1/Voc|la maison	-	Mes grands-parents habitent dans une petite [maison] à la campagne.
1/Voc|le monument	-	L'Arc de Triomphe est un [monument] très connu.
1/Voc|l'œuvre d'art	-	Dans ce musée, chaque [œuvre d'art] a son histoire.
1/Voc|le port	-	Les bateaux de pêche rentrent au [port] le soir.
1/Voc|le pont	-	Pour aller sur l'autre rive, on traverse le [pont].
1/Voc|le fleuve	-	La Loire est le plus long [fleuve] de France.
1/Voc|la place	-	On se retrouve sur la [place] devant l'église.
1/Voc|la rue piétonne	-	Dans la [rue piétonne], il n'y a pas de voitures.
1/Voc|le tram	-	Je vais au collège en [tram].
1/Voc|l'arrêt	-	Descends au prochain [arrêt], c'est là.
1/Voc|le carrefour	-	Au [carrefour], tu tournes à gauche.
1/Voc|présenter qn/qc	-	Aujourd'hui, Léa [présente] sa ville à la classe.
1/Voc|qui	-	J'ai une amie [qui] habite à Nantes.
1/Voc|il/elle se trouve	-	Où est la gare ? – [Elle se trouve] derrière le parc.
1/Voc|traverser qc	-	Attention quand tu [traverses] la rue !
1/1|célèbre	-	Victor Hugo est un écrivain très [célèbre].
1/1|l'auteur / l'auteure	-	L'[auteure] de ce livre vient de Belgique.
1/1|le voyage	-	Bon [voyage] et à bientôt !
1/1|extraordinaire	-	Cette journée à la mer était [extraordinaire] !
1/1|où	-	C'est la ville [où] je suis née.
1/1|la spécialité	-	Les crêpes sont une [spécialité] de la Bretagne.
1/1|le parcours	-	Le [parcours] passe par le château et le port.
1/1|le/la jeune	-	Beaucoup de [jeunes] aiment ce festival.
1/1|sortir	-	Le samedi soir, ma sœur [sort] avec ses amies.
1/1|chiller	-	Après le match, on a [chillé] au parc.
1/1|l'arbre	-	Le chat est monté dans l'[arbre].
1/1|le ping-pong	-	À la récré, on joue au [ping-pong].
1/1|ils/elles se trouvent	-	Les toilettes ? [Elles se trouvent] au fond du couloir.
1/1|(être) né/née	-	Ma mère [est née] à Marseille.
1/1|partir	-	Le train [part] à huit heures.
1/1|partir en week-end	-	Samedi, nous allons [partir en week-end] à la mer.
1/1|le vélo	-	Mon [vélo] est dans le garage.
1/1|à vélo	-	Je vais au collège [à vélo].
1/1|le bateau	-	Nous faisons un tour en [bateau] sur le lac.
1/1|moderne	-	Ce musée est très [moderne].
1/1|la chaîne	-	Il regarde les vidéos de sa [chaîne] préférée.
1/1|sur	-	Un pont passe [sur] le fleuve.
1/2|prendre (à gauche / à droite)	-	Au carrefour, [prends à droite].
